state,year,death
TX,2006,7639
TX,2007,8107
TX,2008,8874
TX,2009,8649
TX,2010,8921
TX,2011,9097
TX,2012,9524
TX,2013,9800
UT,1999,559
UT,2000,524
UT,2001,525
UT,2002,603
UT,2003,569
UT,2004,595
UT,2005,592
UT,2006,591
UT,2007,617
UT,2008,638
UT,2009,581
UT,2010,671
UT,2011,647
UT,2012,663
UT,2013,718
VA,1999,2699
VA,2000,2820
VA,2001,2744
VA,2002,2752
VA,2003,2983
VA,2004,2730
VA,2005,2897
VA,2006,2697
VA,2007,2770
VA,2008,3023
VA,2009,3013
VA,2010,2969
VA,2011,3112
VA,2012,3070
VA,2013,3181
VT,1999,300
VT,2000,312
VT,2001,305
VT,2002,276
VT,2003,301
VT,2004,296
VT,2005,381
VT,2006,320
VT,2007,316
VT,2008,341
VT,2009,364
VT,2010,335
VT,2011,349
VT,2012,364
VT,2013,353
WA,1999,2713
WA,2000,2644
WA,2001,2634
WA,2002,2721
WA,2003,2652
WA,2004,2549
WA,2005,2699
WA,2006,2662
WA,2007,2684
WA,2008,2930
WA,2009,2933
WA,2010,2737
WA,2011,3080
WA,2012,2955
WA,2013,2933
WI,1999,2270
WI,2000,2316
WI,2001,2375
WI,2002,2335
WI,2003,2299
WI,2004,2312
WI,2005,2449
WI,2006,2354
WI,2007,2399
WI,2008,2538
WI,2009,2461
WI,2010,2474
WI,2011,2615
WI,2012,2524
WI,2013,2789
WV,1999,1236
WV,2000,1345
WV,2001,1273
WV,2002,1228
WV,2003,1296
WV,2004,1225
WV,2005,1350
WV,2006,1267
WV,2007,1331
WV,2008,1590
WV,2009,1490
WV,2010,1482
WV,2011,1571
WV,2012,1524
WV,2013,1590
WY,1999,338
WY,2000,283
WY,2001,270
WY,2002,324
WY,2003,278
WY,2004,308
WY,2005,291
WY,2006,345
WY,2007,295
WY,2008,311
WY,2009,310
WY,2010,332
WY,2011,327
WY,2012,334
WY,2013,387
