state,year,PM25
NJ,2004,111.28571428571429
NJ,2005,107.0
NJ,2006,113.22727272727273
NJ,2007,134.15384615384616
NJ,2008,128.57692307692307
NJ,2009,150.95238095238096
NJ,2010,145.82608695652175
NJ,2011,153.56521739130434
NJ,2012,155.5
NJ,2013,144.875
NM,1999,147.1
NM,2000,134.77777777777777
NM,2001,124.94444444444444
NM,2002,153.84615384615384
NM,2003,117.9375
NM,2004,120.26666666666667
NM,2005,121.4
NM,2006,130.21428571428572
NM,2007,138.5
NM,2008,170.78571428571428
NM,2009,114.91666666666667
NM,2010,169.84615384615384
NM,2011,158.65
NM,2012,145.88888888888889
NM,2013,149.16666666666666
NV,1999,97.27272727272727
NV,2000,127.3
NV,2001,119.61111111111111
NV,2002,103.0
NV,2003,127.83333333333333
NV,2004,105.3
NV,2005,130.625
NV,2006,130.0
NV,2007,86.375
NV,2008,111.5
NV,2009,107.83333333333333
NV,2010,83.6
NV,2011,143.28571428571428
NV,2012,175.1764705882353
NV,2013,232.17948717948718
NY,1999,39.214285714285715
NY,2000,118.46938775510205
NY,2001,126.16363636363636
NY,2002,132.86065573770492
NY,2003,93.27272727272727
NY,2004,139.0
NY,2005,144.32142857142858
NY,2006,141.85714285714286
NY,2007,154.51612903225808
NY,2008,143.3448275862069
NY,2009,150.39285714285714
NY,2010,149.94871794871796
NY,2011,132.58333333333334
NY,2012,113.95454545454545
NY,2013,108.30434782608695
OH,1999,180.64102564102564
OH,2000,150.51063829787233
OH,2001,171.56
OH,2002,195.25
OH,2003,169.32075471698113
OH,2004,146.64
OH,2005,93.05357142857143
OH,2006,93.5
OH,2007,95.07272727272728
OH,2008,106.51666666666667
OH,2009,109.14035087719299
OH,2010,111.46031746031746
OH,2011,106.88709677419355
OH,2012,119.13333333333334
OH,2013,107.9672131147541
OK,1999,48.958333333333336
OK,2000,103.06896551724138
OK,2001,105.80645161290323
OK,2002,107.875
OK,2003,96.1875
OK,2004,110.62962962962963
OK,2005,116.17391304347827
OK,2006,120.42105263157895
OK,2007,120.17391304347827
OK,2008,88.5
OK,2009,111.33333333333333
OK,2010,111.27777777777777
OK,2011,95.84615384615384
OK,2012,159.8
OK,2013,206.14285714285714
OR,1999,147.22222222222223
OR,2000,216.96296296296296
OR,2001,214.4
OR,2002,211.5
OR,2003,88.36
OR,2004,89.36842105263158
OR,2005,79.22222222222223
OR,2006,71.34482758620689
OR,2007,85.26315789473684
OR,2008,120.60975609756098
OR,2009,102.24137931034483
OR,2010,86.26086956521739
OR,2011,87.95238095238095
OR,2012,96.19047619047619
OR,2013,91.95833333333333
PA,1999,110.0
PA,2000,131.4468085106383
PA,2001,157.46808510638297
PA,2002,188.575
PA,2003,159.1875
PA,2004,175.17391304347825
PA,2005,164.0612244897959
PA,2006,161.88372093023256
PA,2007,166.35555555555555
PA,2008,200.32608695652175
PA,2009,211.55555555555554
PA,2010,237.73684210526315
PA,2011,264.64912280701753
PA,2012,263.30645161290323
PA,2013,253.11764705882354
RI,1999,101.0
RI,2000,139.77777777777777
RI,2001,125.6
RI,2002,162.52380952380952
RI,2003,161.66666666666666
RI,2004,136.71428571428572
RI,2005,163.83333333333334
RI,2006,177.16666666666666
RI,2007,182.16666666666666
RI,2008,152.57142857142858
RI,2009,160.875
RI,2010,153.0
RI,2011,201.625
RI,2012,186.6
RI,2013,260.0
SC,1999,122.57142857142857
SC,2000,143.6590909090909
SC,2001,154.2972972972973
SC,2002,152.140625
SC,2003,146.2
SC,2004,147.73134328358208
SC,2005,140.44
SC,2006,152.1304347826087
SC,2007,191.7948717948718
SC,2008,180.3684210526316
SC,2009,198.89473684210526
SC,2010,171.05263157894737
SC,2011,186.44444444444446
SC,2012,159.8
SC,2013,157.14285714285714
SD,1999,89.5
SD,2000,81.54545454545455
SD,2001,105.0909090909091
SD,2002,111.63636363636364
SD,2003,96.83333333333333
SD,2004,111.9090909090909
SD,2005,119.6
SD,2006,118.1
SD,2007,114.33333333333333
SD,2008,115.77777777777777
SD,2009,213.6315789473684
SD,2010,209.26666666666668
SD,2011,226.76923076923077
SD,2012,255.25
SD,2013,255.58333333333334
TN,1999,88.5
TN,2000,137.09756097560975
TN,2001,145.40425531914894
TN,2002,125.09375
TN,2003,122.82051282051282
TN,2004,133.30769230769232
TN,2005,132.35897435897436
TN,2006,131.88095238095238
TN,2007,158.92105263157896
TN,2008,130.6
TN,2009,109.08333333333333
TN,2010,94.55555555555556
TN,2011,219.8
TN,2012,242.33333333333334
TN,2013,180.08823529411765
TX,1999,43.19607843137255
TX,2000,115.38666666666667
TX,2001,146.01298701298703
TX,2002,134.2183908045977
TX,2003,98.24675324675324
TX,2004,138.0241935483871
TX,2005,102.63380281690141
TX,2006,145.75324675324674
TX,2007,140.45569620253164
TX,2008,81.82758620689656
TX,2009,103.92592592592592
TX,2010,93.63157894736842
TX,2011,130.85294117647058
TX,2012,146.4
TX,2013,144.02941176470588
UT,1999,150.45454545454547
UT,2000,117.5
UT,2001,130.76470588235293
UT,2002,149.35
UT,2003,153.7037037037037
UT,2004,169.2
UT,2005,188.1153846153846
UT,2006,142.52
UT,2007,146.8
UT,2008,188.76315789473685
UT,2009,239.83333333333334
UT,2010,206.0
UT,2011,208.45
UT,2012,205.6153846153846
UT,2013,212.6551724137931
VA,1999,107.05
VA,2000,138.51666666666668
VA,2001,139.45
VA,2002,155.875
VA,2003,142.04761904761904
VA,2004,150.27777777777777
VA,2005,154.58823529411765
VA,2006,132.8181818181818
VA,2007,146.82608695652175
VA,2008,164.35714285714286
VA,2009,148.58333333333334
VA,2010,142.0
VA,2011,138.75
VA,2012,151.86363636363637
VA,2013,147.27272727272728
VT,1999,96.33333333333333
VT,2000,110.83333333333333
VT,2001,116.33333333333333
VT,2002,117.125
VT,2003,92.0
VT,2004,112.28571428571429
VT,2005,115.42857142857143
VT,2006,113.57142857142857
VT,2007,116.8
VT,2008,116.8
VT,2009,120.2
VT,2010,119.0
VT,2011,104.8
VT,2012,111.4
VT,2013,100.85714285714286
WA,1999,127.33333333333333
WA,2000,130.6451612903226
WA,2001,121.88888888888889
WA,2002,119.77777777777777
WA,2003,77.3076923076923
WA,2004,82.21052631578948
WA,2005,100.33333333333333
WA,2006,108.875
WA,2007,156.83333333333334
WA,2008,106.93333333333334
WA,2009,140.125
WA,2010,118.125
WA,2011,215.3684210526316
WA,2012,198.54545454545453
WA,2013,222.91666666666666
WI,1999,120.21428571428571
WI,2000,133.46428571428572
WI,2001,146.09677419354838
WI,2002,120.17241379310344
WI,2003,67.93939393939394
WI,2004,102.92307692307692
WI,2005,100.96551724137932
WI,2006,97.51724137931035
WI,2007,111.61538461538461
WI,2008,111.84615384615384
WI,2009,110.93103448275862
WI,2010,121.9375
WI,2011,129.31428571428572
WI,2012,94.96428571428571
WI,2013,99.875
WV,1999,108.9
WV,2000,105.21739130434783
WV,2001,115.55555555555556
WV,2002,115.72222222222223
WV,2003,115.27777777777777
WV,2004,117.0
WV,2005,114.78947368421052
WV,2006,118.94117647058823
WV,2007,130.05882352941177
WV,2008,120.6875
WV,2009,164.6875
WV,2010,106.125
WV,2011,100.875
WV,2012,106.125
WV,2013,107.6875
WY,1999,66.57142857142857
WY,2000,106.75
WY,2001,80.7
WY,2002,100.33333333333333
WY,2003,111.11111111111111
WY,2004,111.77777777777777
WY,2005,91.63636363636364
WY,2006,102.64285714285714
WY,2007,98.0
WY,2008,79.95238095238095
WY,2009,108.55555555555556
WY,2010,106.31818181818181
WY,2011,152.76923076923077
WY,2012,146.75
WY,2013,174.24
